Seq,LV,Word,Britanico
1,A1,add,æd
2,A1,agree,əˈgriː
3,A1,answer,ˈɑːnsə
4,A1,arrive,əˈraɪv
5,A1,ask,ɑːsk
6,A1,be,biː
7,A1,become,bɪˈkʌm
8,A1,begin,bɪˈgɪn
9,A1,believe,bɪˈliːv
10,A1,born,bɔːn
11,A1,break,breɪk
12,A1,bring,brɪŋ
13,A1,build,bɪld
14,A1,buy,baɪ
15,A1,call,kɔːl
16,A1,carry,ˈkæri
17,A1,change,ʧeɪnʤ
18,A1,check,ʧɛk
19,A1,choose,ʧuːz
20,A1,clean,kliːn
21,A1,climb,klaɪm
22,A1,close,kləʊs / kləʊz
23,A1,come,kʌm
24,A1,compare,kəmˈpeə
25,A1,complete,kəmˈpliːt
26,A1,cook,kʊk
27,A1,correct,kəˈrɛkt
28,A1,cost,kɒst
29,A1,create,kri(ː)ˈeɪt
30,A1,cut,kʌt
31,A1,dance,dɑːns
32,A1,decide,dɪˈsaɪd
33,A1,describe,dɪsˈkraɪb
34,A1,design,dɪˈzaɪn
35,A1,die,daɪ
36,A1,discuss,dɪsˈkʌs
37,A1,do,duː / dəʊ
38,A1,draw,drɔː
39,A1,dress,drɛs
40,A1,drink,drɪŋk
41,A1,drive,draɪv
42,A1,eat,iːt
43,A1,email,ˈiːmeɪl
44,A1,end,ɛnd
45,A1,enjoy,ɪnˈʤɔɪ
46,A1,exercise,ˈɛksəsaɪz
47,A1,explain,ɪksˈpleɪn
48,A1,fall,fɔːl
49,A1,feel,fiːl
50,A1,fill,fɪl
51,A1,find,faɪnd
52,A1,finish,ˈfɪnɪʃ
53,A1,fly,flaɪ
54,A1,follow,ˈfɒləʊ
55,A1,forget,fəˈgɛt
56,A1,form,fɔːm
57,A1,get,gɛt
58,A1,give,gɪv
59,A1,go,gəʊ
60,A1,grow,grəʊ
61,A1,guess,gɛs
62,A1,happen,ˈhæpən
63,A1,hate,heɪt
64,A1,have,hæv
65,A1,hear,hɪə
66,A1,help,hɛlp
67,A1,hope,həʊp
68,A1,imagine,ɪˈmæʤɪn
69,A1,improve,ɪmˈpruːv
70,A1,include,ɪnˈkluːd
71,A1,interest,ˈɪntrɪst
72,A1,interview,ˈɪntəvjuː
73,A1,introduce,ˌɪntrəˈdjuːs
74,A1,join,ʤɔɪn
75,A1,keep,kiːp
76,A1,know,nəʊ
77,A1,laugh,lɑːf
78,A1,learn,lɜːn
79,A1,leave,liːv
80,A1,let,lɛt
81,A1,lie,laɪ
82,A1,like,laɪk
83,A1,list,lɪst
84,A1,listen,ˈlɪsn
85,A1,live,lɪv / laɪv
86,A1,look,lʊk
87,A1,lose,luːz
88,A1,love,lʌv
89,A1,make,meɪk
90,A1,match,mæʧ
91,A1,mean,miːn
92,A1,meet,miːt
93,A1,miss,mɪs
94,A1,move,muːv
95,A1,name,neɪm
96,A1,need,niːd
97,A1,open,ˈəʊpən
98,A1,order,ˈɔːdə
99,A1,paint,peɪnt
100,A1,park,pɑːk
101,A1,pay,peɪ
102,A1,phone,fəʊn
103,A1,plan,plæn
104,A1,play,pleɪ
105,A1,post,pəʊst
106,A1,practise,ˈpræktɪs
107,A1,prefer,priˈfɜː
108,A1,prepare,prɪˈpeə
109,A1,put,pʊt
110,A1,rain,reɪn
111,A1,read,riːd / rɛd
112,A1,relax,rɪˈlæks
113,A1,remember,rɪˈmɛmbə
114,A1,repeat,rɪˈpiːt
115,A1,return,rɪˈtɜːn
116,A1,ride,raɪd
117,A1,run,rʌn
118,A1,say,seɪ
119,A1,see,siː
120,A1,sell,sɛl
121,A1,send,sɛnd
122,A1,share,ʃeə
123,A1,shop,ʃɒp
124,A1,show,ʃəʊ
125,A1,sing,sɪŋ
126,A1,sit,sɪt
127,A1,sleep,sliːp
128,A1,snow,snəʊ
129,A1,sound,saʊnd
130,A1,speak,spiːk
131,A1,spell,spɛl
132,A1,spend,spɛnd
133,A1,stand,stænd
134,A1,start,stɑːt
135,A1,stay,steɪ
136,A1,stop,stɒp
137,A1,study,ˈstʌdi
138,A1,swim,swɪm
139,A1,take,teɪk
140,A1,talk,tɔːk
141,A1,teach,tiːʧ
142,A1,telephone,ˈtɛlɪfəʊn
143,A1,tell,tɛl
144,A1,test,tɛst
145,A1,thank,θæŋk
146,A1,think,θɪŋk
147,A1,travel,ˈtrævl
148,A1,try,traɪ
149,A1,turn,tɜːn
150,A1,understand,ˌʌndəˈstænd
151,A1,use,juːz / juːs
152,A1,visit,ˈvɪzɪt
153,A1,wait,weɪt
154,A1,wake,weɪk
155,A1,walk,wɔːk
156,A1,want,wɒnt
157,A1,wash,wɒʃ
158,A1,watch,wɒʧ
159,A1,wear,weə
160,A1,welcome,ˈwɛlkəm
161,A1,win,wɪn
162,A1,work,wɜːk
163,A1,write,raɪt
164,A1,all,ɔːl
165,A1,another,əˈnʌðə
166,A1,any,ˈɛni
167,A1,anyone,ˈɛnɪwʌn
168,A1,anything,ˈɛnɪθɪŋ
169,A1,both,bəʊθ
170,A1,each,iːʧ
171,A1,enough,ɪˈnʌf
172,A1,everybody,ˈɛvrɪbɒdi
173,A1,everyone,ˈɛvrɪwʌn
174,A1,everything,ˈɛvrɪθɪŋ
175,A1,few,fjuː
176,A1,half,hɑːf
177,A1,he,hiː
178,A1,her,hɜː
179,A1,him,hɪm
180,A1,I,aɪ
181,A1,it,ɪt
182,A1,little,ˈlɪtl
183,A1,lot,lɒt
184,A1,many,ˈmɛni
185,A1,me,miː
186,A1,more,mɔː
187,A1,most,məʊst
188,A1,much,mʌʧ
189,A1,no one,nəʊ wʌn
190,A1,nobody,ˈnəʊbədi
191,A1,nothing,ˈnʌθɪŋ
192,A1,one,wʌn
193,A1,other,ˈʌðə
194,A1,own,əʊn
195,A1,same,seɪm
196,A1,she,ʃiː
197,A1,some,sʌm
198,A1,somebody,ˈsʌmbədi
199,A1,someone,ˈsʌmwʌn
200,A1,something,ˈsʌmθɪŋ
201,A1,that,ðæt
202,A1,them,ðɛm
203,A1,they,ðeɪ
204,A1,this,ðɪs
205,A1,us,ʌs
206,A1,we,wiː
207,A1,what,wɒt
208,A1,when,wɛn
209,A1,which,wɪʧ
210,A1,who,huː
211,A1,you,juː
212,A1,yourself,jɔːˈsɛlf
213,A1,about,əˈbaʊt
214,A1,above,əˈbʌv
215,A1,across,əˈkrɒs
216,A1,after,ˈɑːftə
217,A1,around,əˈraʊnd
218,A1,as,æz
219,A1,at,æt
220,A1,before,bɪˈfɔː
221,A1,behind,bɪˈhaɪnd
222,A1,below,bɪˈləʊ
223,A1,between,bɪˈtwiːn
224,A1,by,baɪ
225,A1,down,daʊn
226,A1,during,ˈdjʊərɪŋ
227,A1,for,fɔː
228,A1,from,frɒm
229,A1,in,ɪn
230,A1,into,ˈɪntuː
231,A1,near,nɪə
232,A1,next to,nɛkst tuː
233,A1,of,ɒv
234,A1,off,ɒf
235,A1,on,ɒn
236,A1,opposite,ˈɒpəzɪt
237,A1,out,aʊt
