LV,Phrase
A1,a few
A1,a few minutes
A1,a few times
A1,a few years
A1,a good idea
A1,Good idea!
A1,It’s a good idea to…
A1,That’s a good idea!
A1,agree with sb
A1,a little
A1,a little help
A1,a little money
A1,a little sugar
A1,a lot
A1,a lot to do
A1,a lot of sth
A1,all day
A1,all night
A1,all over the world
A1,anything else
A1,anyone else
A1,a period of time
A1,around the world
A1,arrive at…
A1,arrive in…
A1,ask for sth
A1,at home
A1,at school
A1,at the beginning of sth
A1,at the end
A1,at the end of sth
A1,at the moment
A1,at the same time
A1,at the weekend
A1,at university
A1,at work
A1,away from sb/sth
A1,bad for sb/sth
A1,bad news
A1,bad thing
A1,the bad things about sth
A1,because of
A1,begin with sth
A1,be going to do sth
A1,best friend
A1,black and white
A1,car park
A1,cell phone
A1,city centre
A1,in the city centre
A1,come from…
A1,come into sth
A1,He came into the room.
A1,differences between A and B
A1,difficult for sb
A1,it is difficult for sb to do sth
A1,each other
A1,end in sth
A1,every day
A1,every week
A1,every year
A1,excuse me
A1,family member
A1,find out
A1,find out about sth
A1,find out more
A1,for a long time
A1,a long time
A1,for a moment
A1,for example
A1,for lunch
A1,for many years
A1,for the first time
A1,get home
A1,get married
A1,get off
A1,get off the bus
A1,I’m getting off here.
A1,get on
A1,get on the bus
A1,Are you getting on?
A1,get ready
A1,get ready for sth
A1,get ready to do sth
A1,get there
A1,get to…
A1,get up
A1,go back
A1,go back to…
A1,go home
A1,go into sth
A1,She went into her room.
A1,good at sth
A1,good for sb/sth
A1,Good morning
A1,Good afternoon
A1,Good evening
A1,good news
A1,good thing
A1,the good things about sth
A1,go out
A1,go to bed
A1,go to school
A1,go to work
A1,grow up
A1,Guess what…
A1,half an hour
A1,hard work
A1,have fun
A1,have got
A1,have time
A1,have time for sth
A1,have time to do sth
A1,he or she
A1,high school
A1,his or her
A1,How about…?
A1,How are you?
A1,How long…?
A1,How many…?
A1,How much…?
A1,How often…?
A1,I guess
A1,important for sb/sth
A1,It is important for sb/sth to do sth
A1,I’m sorry
A1,in April
A1,in July
A1,in bed
A1,in class
A1,in fact
A1,in front of
A1,in my opinion
A1,in school
A1,in space
A1,in summer
A1,in winter
A1,in the centre
A1,in the centre of sth
A1,in the country
A1,I live in the country.
A1,the best… in the country
A1,in the future
A1,in the morning
A1,in the afternoon
A1,in the evening
A1,in the north
A1,in the south
A1,in the east
A1,in the west
A1,in the past
A1,in the street
A1,in the summer
A1,in the winter
A1,in town
A1,it is important to do sth
A1,It takes…
A1,It takes an hour to get there.
A1,kind of sb/sth
A1,What kind of music do you like?
A1,know how
A1,know how to do sth
A1,last time
A1,the last time
A1,last year
A1,last month
A1,last summer
A1,last week
A1,last weekend
A1,learn how to do sth
A1,listen to sb/sth
A1,live with sb
A1,living room
A1,look at sb/sth
A1,look for sb/sth
A1,look like sb/sth
A1,lots of…
A1,millions of…
A1,mobile phone
A1,more than…
A1,next time
A1,next year
A1,next month
A1,next week
A1,No problem
A1,of course
A1,Oh no!
A1,Oh yes
A1,once a…
A1,once a month
A1,once a week
A1,once a year
A1,one day
A1,on holiday
A1,on Monday
A1,on Tuesday
A1,on television
A1,on the television
A1,on the beach
A1,on the floor
A1,on the internet
A1,on the left
A1,on the right
A1,on the phone
A1,be on the phone
A1,talk on the phone
A1,on TV
A1,out of sth
A1,over there
A1,pay for sth
A1,phone call
A1,phone number
A1,plan for sth
A1,make plans for sth
A1,What are you plans for next year?
A1,play with sb/sth
A1,post office
A1,pretty good
A1,really enjoy
A1,I really enjoyed it.
A1,really good
A1,really like
A1,I’d really like to…
A1,right now
A1,See you
A1,See you around
A1,See you later
A1,See you soon
A1,sit down
A1,someone else
A1,something else
